team,short,abbreviation,nickname,school,z
Illinois State Redbirds,Illinois St,ILST,Redbirds,Illinois State,Illinois St
Incarnate Word Cardinals,Incarnate Word,UIW,Cardinals,Incarnate Word,Incarnate Word
Indiana Hoosiers,Indiana,IU,Hoosiers,Indiana,Indiana
Indiana State Sycamores,Indiana St,INST,Sycamores,Indiana State,Indiana St
Indianapolis Greyhounds,Indy,INDY,Greyhounds,Indianapolis,IUPUI
Iona Gaels,Iona,IONA,Gaels,Iona,Iona
Iowa Hawkeyes,Iowa,IOWA,Hawkeyes,Iowa,Iowa
Iowa State Cyclones,Iowa State,ISU,Cyclones,Iowa State,Iowa St
Jackson State Tigers,Jackson St,JKST,Tigers,Jackson State,Jackson St
Jacksonville Dolphins,Jacksonville,JAX,Dolphins,Jacksonville,Jacksonville
Jacksonville State Gamecocks,Jax State,JVST,Gamecocks,Jacksonville State,Jacksonville St
James Madison Dukes,James Madison,JMU,Dukes,James Madison,James Madison
