league|id|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname
mlb|5786677|06:38 pm|2023-08-03|Anaheim, CA|Mariners at Angels|Seattle Mariners at Los Angeles Angels|Angel Stadium of Anaheim|    28|0.761|33.8003|-117.8830|Los Angeles Angels|Seattle Mariners|NA|NA| 11|  34|  2601|MLB|MLB Baseball
mlb|5787056|06:40 pm|2023-07-31|Seattle, WA|Red Sox at Mariners|Boston Red Sox at Seattle Mariners|T-Mobile Park|    13|0.761|47.5914|-122.3330|Seattle Mariners|Boston Red Sox|NA|NA| 19|  74|   570|MLB|MLB Baseball
mlb|5784970|01:10 pm|2023-08-12|Flushing, NY|Braves at Mets|Atlanta Braves at New York Mets|Citi Field|     3|0.760|40.7564| -73.8459|New York Mets|Atlanta Braves|NA|NA| 21|  72|123604|MLB|MLB Baseball
mlb|5788907|07:07 pm|2023-08-02|Toronto, Canada|Orioles at Blue Jays|Baltimore Orioles at Toronto Blue Jays|Rogers Centre|    17|0.759|43.6422| -79.3909|Toronto Blue Jays|Baltimore Orioles|NA|NA| 17|  55|  3597|MLB|MLB Baseball
mlb|5789632|01:40 pm|2023-08-13|Miami, FL|Yankees at Marlins|New York Yankees at Miami Marlins|loanDepot park|  6371|0.759|25.7617| -80.1918|Miami Marlins|New York Yankees|NA|NA| 25|  78| 11644|MLB|MLB Baseball
mlb|5786212|12:05 pm|2023-08-13|Boston, MA|Tigers at Red Sox|Detroit Tigers at Boston Red Sox|Fenway Park|    21|0.758|42.3456| -71.0983|Boston Red Sox|Detroit Tigers|NA|NA| 53| 129|  1804|MLB|MLB Baseball
mlb|5785269|07:10 pm|2023-08-02|Los Angeles, CA|Athletics at Dodgers|Oakland Athletics at Los Angeles Dodgers|Dodger Stadium|     1|0.757|34.0718|-118.2460|Los Angeles Dodgers|Oakland Athletics|NA|NA| 16|  65|  1731|MLB|MLB Baseball
mlb|5787254|06:15 pm|2023-08-12|Chicago, IL|Brewers at White Sox|Milwaukee Brewers at Chicago White Sox|Guaranteed Rate Field|  3715|0.677|41.8299| -87.6338|Chicago White Sox|Milwaukee Brewers|NA|NA| 23| 144|   933|MLB|MLB Baseball
mlb|5785034|07:05 pm|2023-08-16|Chicago, IL|White Sox at Cubs|Chicago White Sox at Chicago Cubs|Wrigley Field|    11|0.756|41.9475| -87.6562|Chicago Cubs|Chicago White Sox|NA|NA| 44| 111|  6665|MLB|MLB Baseball
mlb|5788088|07:05 pm|2023-08-15|Washington, DC|Red Sox at Nationals|Boston Red Sox at Washington Nationals|Nationals Park|  3713|0.676|38.8719| -77.0093|Washington Nationals|Boston Red Sox|NA|NA| 22|  78|   550|MLB|MLB Baseball
mlb|5785265|07:10 pm|2023-08-07|Flushing, NY|Cubs at Mets|Chicago Cubs at New York Mets|Citi Field|     3|0.756|40.7564| -73.8459|New York Mets|Chicago Cubs|NA|NA| 11|  30|  2381|MLB|MLB Baseball
mlb|5789616|06:40 pm|2023-08-11|Miami, FL|Yankees at Marlins|New York Yankees at Miami Marlins|loanDepot park|  6371|0.755|25.7617| -80.1918|Miami Marlins|New York Yankees|NA|NA| 23|  81| 11644|MLB|MLB Baseball
mlb|5788096|04:05 pm|2023-08-17|Washington, DC|Red Sox at Nationals|Boston Red Sox at Washington Nationals|Nationals Park|  3713|0.676|38.8719| -77.0093|Washington Nationals|Boston Red Sox|NA|NA| 27|  78|   637|MLB|MLB Baseball
mlb|5787058|06:40 pm|2023-08-01|Seattle, WA|Red Sox at Mariners|Boston Red Sox at Seattle Mariners|T-Mobile Park|    13|0.753|47.5914|-122.3330|Seattle Mariners|Boston Red Sox|NA|NA| 27|  88|   683|MLB|MLB Baseball
mlb|5787102|01:10 pm|2023-08-13|Seattle, WA|Orioles at Mariners|Baltimore Orioles at Seattle Mariners|T-Mobile Park|    13|0.753|47.5914|-122.3330|Seattle Mariners|Baltimore Orioles|NA|NA| 31|  72|   464|MLB|MLB Baseball
