league|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname|id
ncaa_football|06:00 pm|2022-11-12|Hammond, LA|Northwestern State at Southeastern Louisiana|Northwestern State Demons at Southeastern Louisiana Lions Football|Strawberry Stadium|  5930|0.489|30.5095| -90.4688|Southeastern Louisiana Lions Football|Northwestern State Demons Football|NA|NA| 30|  47|    64|NCAA FB|College Football| 321
ncaa_football|07:30 pm|2022-11-12|Winston-Salem, NC||||NA|NA|NA|NA|||||NA|NA|NA||| 322
ncaa_football|01:00 pm|2022-11-12|Kennesaw, GA|Austin Peay at Kennesaw State|Austin Peay Governors at Kennesaw State Owls Football|Fifth Third Bank Stadium| 45664|0.451|34.0289| -84.5676|Kennesaw State Owls Football|Austin Peay Governors Football|NA|NA| 24|  63|   225|NCAA FB|College Football| 323
ncaa_football|03:30 am|2022-11-19|West Lafayette, IN|Northwestern at Purdue|Northwestern Wildcats at Purdue Boilermakers Football|Ross Ade Stadium|  2817|0.703|40.4351| -86.9191|Purdue Boilermakers Football|Northwestern Wildcats Football|NA|NA| 29|  69|   214|NCAA FB|College Football| 324
ncaa_football|07:30 pm|2022-11-12|Reno, NV|Boise State at Nevada|Boise State Broncos at Nevada Wolf Pack Football|Mackay Stadium|  2736|0.660|39.5441|-119.8160|Nevada Wolf Pack Football|Boise State Broncos Football|NA|NA| 24|  63|   174|NCAA FB|College Football| 325
ncaa_football|02:00 pm|2022-11-12|Dover, DE|Delaware State at Morgan State|Morgan State Bears at Delaware State Hornets Football|Alumni Stadium (Dover)|289961|0.431|39.1894| -75.5433|Morgan State Bears Football|Delaware State Hornets Football|NA|NA| 30|  72|    88|NCAA FB|College Football| 326
ncaa_football|02:00 pm|2022-11-12|Brookings, SD|Illinois State at South Dakota State|Illinois State Redbirds at South Dakota State Jackrabbits Football|Dana J. Dykhouse Stadium|  5911|0.514|44.3210| -96.7801|South Dakota State Jackrabbits Football|Illinois State Redbirds Football|NA|NA| 25|  36|    80|NCAA FB|College Football| 327
ncaa_football|12:00 pm|2022-11-19|Youngstown, OH|Southern Illinois at Youngstown State|Southern Illinois Salukis at Youngstown State Penguins Football|Stambaugh Stadium|  5917|0.549|41.1120| -80.6513|Youngstown State Penguins Football|Southern Illinois Salukis Football|NA|NA| 42|  47|   157|NCAA FB|College Football| 328
ncaa_football|03:30 pm|2022-11-19|Louisville, KY|NC State at Louisville|NC State Wolfpack at Louisville Cardinals Football|Cardinal Stadium|  2760|0.736|38.2061| -85.7588|Louisville Cardinals Football|NC State Wolfpack Football|NA|NA| 25|  88|   467|NCAA FB|College Football| 329
ncaa_football|03:30 am|2022-11-26|Stillwater, OK|West Virginia at Oklahoma State|West Virginia Mountaineers at Oklahoma State Cowboys Football|Boone Pickens Stadium|  2785|0.779|36.1256| -97.0665|Oklahoma State Cowboys Football|West Virginia Mountaineers Football|NA|NA| 40|  86|   426|NCAA FB|College Football| 330
ncaa_football|03:30 am|2022-11-19|Memphis, TN|North Alabama at Memphis|North Alabama Lions at Memphis Tigers Football|Simmons Bank Liberty Stadium|  2827|0.434|35.1209| -89.9771|Memphis Tigers Football|North Alabama Lions Football|NA|NA| 23|  59|   636|NCAA FB|College Football| 331
ncaa_football|02:00 pm|2022-11-12|Springfield, MO|Youngstown State Penguins at Missouri State Bears Football|Youngstown State Penguins at Missouri State Bears Football|Robert W Plaster Sports Complex|  5916|0.459|37.1968| -93.2809|Missouri State Bears Football|Youngstown State Penguins Football|NA|NA| 30|  46|    72|NCAA FB|College Football| 332
ncaa_football|01:00 pm|2022-11-12|Missoula, MT|Eastern Washington at Montana|Eastern Washington Eagles at Montana Grizzlies Football|Washington-Grizzly Stadium|  5730|0.636|46.8606|-113.9820|Montana Grizzlies Football|Eastern Washington Eagles Football|NA|NA| 53| 128|   394|NCAA FB|College Football| 333
ncaa_football|12:00 pm|2022-11-19|West Point, NY|Connecticut at Army Black Knights|UConn Huskies at Army Black Knights Football|Michie Stadium|  2799|0.700|41.3863| -73.9657|Army Black Knights Football|UConn Huskies Football|NA|NA| 59|  76|   185|NCAA FB|College Football| 334
ncaa_football|02:30 pm|2022-11-19|Troy, AL|Louisiana-Monroe at Troy|Louisiana-Monroe Warhawks at Troy Trojans Football	|Veterans Memorial Stadium - AL|  2778|0.415|31.8097| -85.9722|Troy Trojans Football|Louisiana-Monroe Warhawks Football|NA|NA| 16|  29|   106|NCAA FB|College Football| 335
ncaa_football|11:00 am|2022-12-17|Boston, MA|Fenway Bowl|Fenway Bowl|Fenway Park|    21|0.497|42.3456| -71.0983|Fenway Bowl|College Football Bowl Games|NA|NA| 48| 148|   396|NCAA FB|College Football| 336
ncaa_football|03:30 am|2022-11-26|College Park, MD|Rutgers at Maryland|Rutgers Scarlet Knights at Maryland Terrapins Football|SECU Stadium|  2525|0.720|38.9903| -76.9472|Maryland Terrapins Football|Rutgers Scarlet Knights Football|NA|NA| 11|  40|   190|NCAA FB|College Football| 337
ncaa_football|03:30 am|2022-11-26|Dallas, TX|Memphis at SMU|Memphis Tigers at SMU Mustangs Football|Gerald J. Ford Stadium|  2806|0.621|32.8390| -96.7838|SMU Mustangs Football|Memphis Tigers Football|NA|NA| 16|  60|   577|NCAA FB|College Football| 338
ncaa_football|05:00 pm|2022-11-19|Laramie, WY|Boise State at Wyoming|Boise State Broncos at Wyoming Cowboys Football|Jonah Field at War Memorial Stadium|  2766|0.624|41.3138|-105.5840|Wyoming Cowboys Football|Boise State Broncos Football|NA|NA| 38|  70|   249|NCAA FB|College Football| 339
ncaa_football|03:30 am|2022-11-26|Chestnut Hill, MA|Syracuse at Boston College|Syracuse Orange at Boston College Eagles Football|Alumni Stadium|  2780|0.695|42.3340| -71.1707|Boston College Eagles Football|Syracuse Orange Football|NA|NA| 17|  31|   620|NCAA FB|College Football| 340
ncaa_football|11:00 am|2022-11-19|Starkville, MS|ETSU at Mississippi State|ETSU Buccaneers at Mississippi State Bulldogs Football|Davis Wade Stadium|  2776|0.634|33.4563| -88.7934|Mississippi State Bulldogs Football|East Tennessee State Buccaneers Football|NA|NA| 11|  33|   295|NCAA FB|College Football| 341
ncaa_football|01:00 pm|2022-11-19|Villanova, PA|Delaware at Villanova|Delaware Blue Hens at Villanova Wildcats Football|Villanova Stadium|  5992|0.544|40.0453| -75.4468|Villanova Wildcats Football|Delaware Blue Hens Football|NA|NA| 33|  40|   101|NCAA FB|College Football| 342
ncaa_football|01:00 pm|2022-11-12|Dayton, OH|Morehead State at Dayton|Morehead State Eagles at Dayton Flyers Football|Welcome Stadium|  5985|0.475|39.7369| -84.1960|Dayton Flyers Football|Morehead State Eagles Football|NA|NA| 33|  49|    51|NCAA FB|College Football| 343
